title   date
※중요  2021학년도 학사제도 및 학업이수가이드 수정 안내	날짜
2021학년도 2학기 『현장실습학기제(IPP/일학습병행)』 모집	2021-05-11
SOS두드림장학 신청안내	2021-05-11
실시간 원격수업 진행을 위한 안내 및 실시간 원격수업 인프라 사전 준비 안내	2021-03-18
「공감과소통의공학교육」 필수지정 해지 안내	2020-03-04
2021-2학기 창업대체학점 인정제 안내	2019-12-19
2021-2학기 개별연구 수강신청 안내(수정)	2021-08-02
2021학년도 2학기 복학 신청(1차) 안내	2021-07-13
2021학년도 2학기 전과(전공변경)제도 시행 안내	2021-06-15
2021학년도 여름학기 개별연구 수강신청 안내	2021-05-18
2021학년도 1학기 “복수(연계)전공 포기” 신청 안내	2021-05-14
2021 신입생 오리엔테이션	2021-03-25
2021 건축공학부 신입생OT자료	2021-03-16
2021 정보통신공학과 신입생OT자료	2021-02-26
2021 멀티미디어공학과 신입생OT자료	2021-02-26
※ 공과대학 전공기초교과목(‘어드벤처디자인’) 수업지원 실습 근로장학생 모집 (~9/3)	날짜
공과대학 학사운영실 교내 근로 장학생 선발	2021-08-26
※중요 [정보통신공학전공] 2021학년도 학사제도 및 학업이수가이드 수정 안내	2021-08-19
[중요] 「공감과소통의공학교육」 필수지정 해지 안내	2020-03-04
[학적] 2021학년도 2학기 복학 신청(1차) 안내	2021-07-13
[학적] 2021학년도 2학기 전과(전공변경)제도 시행 안내	2021-06-15
