title   date
2021 전공연계 및 동아리 봉사 공모전 ...	2021-08-13
2021학년도 2학기 학생증 신규발급 일시중단 안내(9/1~9...	2021-08-13
국가근로장학생 모집 공고(~8/20)	2021-08-12
2021-가을학기 사회봉사교과목 수강신청...	2021-08-11
한국과학창의재단 체육예술분야 교육기부 동...	2021-08-11
2021학년도 2학기 연구등록(B) 등록 안내	2021-08-11
창의융합인재 공모전전략 1일 캠프 (자격증 수여)	2021-08-10
동국대학교 학생모니터링단 동화 14기 추가 모집...	2021-08-09
동문선배 랜선 멘토링(한국철도공사/한국거래소)	2021-08-09
2021학년도 2학기 대학원 신(편)입생 학생증 신청 안내	2021-08-09
2021 전공연계 및 동아리 봉사 공모전 ...	2021-08-13
동국대학교 K-MOOC 수강 관련 공지사항	2021-08-13
[인권·장애학생지원센터]  2021학년 2학기 교내근로장학생 ...	2021-08-13
2021학년도 2학기 학생증 신규발급 일시중단 안내(9/1~9...	2021-08-13
2021학년도 2학기 교외 국가근로장학생 모집	2021-08-13
정주영 창업경진대회 10 DEMODAY LIVE 안내	2021-08-12
교육홍보팀 학사연구원 모집	2021-08-12
국가근로장학생 모집 공고(~8/20)	2021-08-12
2021-가을학기 사회봉사교과목 수강신청...	2021-08-11
한국과학창의재단 체육예술분야 교육기부 동...	2021-08-11
2021학년도 2학기 연구등록(B) 등록 안내	2021-08-11
「2021년 장애 인식개선 UCC 공모전...	2021-08-11
2021 전공연계 및 동아리 봉사 공모전 ...	2021-08-10
김대룡 교수님 조교 모집	2021-08-10
국가근로장학생 모집 공고	2021-08-10
커리어포트폴리오 경진대회	2021-08-09
