title   date
2021년 제2회 다문화가족자녀 학업 및 특기 장학금 지원 사업...	2021-08-13
2021학년도 2학기 연재장학생 선발 안내	2021-08-11
2021-2학기 교내장학 결과 정정 안내	2021-08-11
2021-2학기 복지장학2(면학장학) 안내	2021-08-11
2021-2학기 국가장학금 Ⅱ유형 고지서 감면 안내	2021-08-09
2021-2학기 국가장학금 Ⅰ유형 고지서 감면 안내	2021-08-09
2021학년도 2학기 국가근로장학금 신청 안내(2차)	2021-08-02
2021-2학기 정부학자금대출 안내	2021-07-13
동국인재육성장학 Dream PATH 마일리지 등록기한 안내	2021-06-02
2021년 인문100년 및 예술체육비전 장학금 주요 개선 사항 ...	2021-03-12
2021학년도 국가근로장학 위치기반(GPS) 모바일 출근부 도입...	2021-02-25
★2021학년도 국가/교내근로장학생 모집 게시판 안내★	2021-02-10
2021-2학기 강좌별수석장학 폐지 안내	2020-11-20
동국인재육성장학 시행 안내	2020-11-19
SOS두드림장학 신청안내	2020-10-27
학부-일반대학원 연계 장학제도 안내	2020-10-13
◆학자금 중복지원 방지제도 안내◆	2019-11-20
2021년 제2회 다문화가족자녀 학업 및 특기 장학금 지원 사업...	2021-08-13
2021학년도 2학기 연재장학생 선발 안내	2021-08-11
2021-2학기 교내장학 결과 정정 안내	2021-08-11
2021-2학기 복지장학2(면학장학) 안내	2021-08-11
2021-2학기 국가장학금 Ⅱ유형 고지서 감면 안내	2021-08-09
2021-2학기 국가장학금 Ⅰ유형 고지서 감면 안내	2021-08-09
2021년 2학기 안산시 대학생 본인부담 등록금 반값 지원 안내	2021-08-06
2021년도 서암 윤세영 재단 신규 대학 장학생 선발 안내	2021-08-06
2021-2학기 불교청년지도자육성장학(신규 및 계속) 장학생 선...	2021-08-20
★2021년 2학기 국가장학금 2차 신청 안내	2021-08-17
2021학년도 2학기 정산장학생 선발 안내	2021-08-17
2021학년도 2학기 동산장학회 장학생 선발 안내	2021-08-25
녹산학술장학재단 장학생 후보 모집 안내	2021-08-23
2021-2학기 불교청년지도자육성장학(신규 및 계속) 장학생 선...	2021-08-20
2021년 (재)포항시장학회 장학생 선발 안내	2021-08-20
★2021년 2학기 국가장학금 2차 신청 안내	2021-08-17
2021학년도 2학기 정산장학생 선발 안내	2021-08-17
2021-2학기 불교청년지도자육성장학(신규 및 계속) 장학생 선발 안내	2021-08-20
2021년 제2회 다문화가족자녀 학업 및 특기 장학금 지원 사업 안내	2021-08-13
2021년 인문100년 및 예술체육비전 장학금 주요 개선 사항 안내	2021-03-12
2021학년도 국가근로장학 위치기반(GPS) 모바일 출근부 도입 관련 변경사항 및 자체선발기준 안내	2021-02-25
2021-2학기 불교청년지도자육성장학(신규 및 계속) 장학생 선발 안내	2021-08-20
2021-2학기 불교청년지도자육성장학 면접 일정 안내	2021-08-30
앨트웰민초장학재단 제22기 장학생 선발 안내	2021-08-30
