title   date
2021학년도 2학기 연계전공 교과목 TA 모집 공고	2021.08.13
2021-2 '프로그래밍기초와실습' 수업 지원 근로장학생 모집	2021.08.10
2021-2 정보통신공학전공 학과실험실습 근로장학생 모집	2021.08.09
DICE K-SW Square Global 교육 - 추가 모집	2021.08.05
2021-2 정보통신공학전공 ‘어드벤처디자인’ 수업 지원 근로장학생 모집	2021.08.04
AI 서버 관리자 모집 - 인공지능연구센터 및 팜 시스템	2021.07.22
2021년 공개SW 개발자대회 안내	2021.07.15
2021년 공과대학 학과별 학생포트폴리오경진대회 참가자 모집	2021.07.13
2021년 졸업학점 변경 안내	2021.07.08
2021년도 하반기 국내과정 ICT 학점연계 프로젝트 인턴십 프로그램 안내	2021.07.05
제목	작성일
2021-2학기 SW연계전공 튜터 지원 공고	2021.08.27
공과대 설문조사연구 근로장학생 모집	2021.08.26
인공지능 학습용 실험데이터 획득참여 학부생 모집	2021.08.26
2022학년도 봄 석사 및 박사 학위청구논문 제출에 따른 일정 안내	2021.08.25
2021-2 정보통신프로그래밍 조교 모집	2021.08.20
[융합교육원] 2021-2학기 SW연계전공 튜터 지원 공고	작성일
[자율기술연구센터] 인공지능 학습용 실험데이터 획득참여 학부생 모집	2021.08.26
[일반대학원] 2022학년도 봄 석사 및 박사 학위청구논문 제출에 따른 일정 안내	2021.08.26
[융합교육원] 2021학년도 2학기 연계전공 교과목 TA 모집 공고	2021.08.20
[융합교육원] DICE K-SW Square Global 교육 - 추가 모집	2021.08.09
