title   date
[수업성적] 유고결석 인정 신청 변경사항 안내(코로나19 백...	2021-08-13
2021-2학기 Webex 원격수업 콜센터 근로...	2021-08-12
[수업성적] 수강신청 확인 및 정정기간 변경 안내	2021-08-12
[수업성적] 2021-2학기 학부 수업 운영 계획 수정 안내	2021-08-10
2021학년도 2학기 재학생 전액장학생 등록금 ...	2021-08-09
2021학년도 2학기 재학생 등록금 신용카드 납...	2021-08-09
2021학년도 2학기 학점등록생 등록금 납부 안...	2021-08-09
2021학년도 2학기 등록금 분할납부(재학생) ...	2021-08-09
2021학년도 2학기 재학생 등록금 납부 안내	2021-08-09
★2021년 가을 비대면 학위수여식 시행에 따른...	2021-08-05
[수업성적] 유고결석 인정 신청 변경사항 안내(코로나19 백...	2021-08-13
2021-2학기 Webex 원격수업 콜센터 근로...	2021-08-12
[수업성적] 2021학년도 2학기 현장실습 사전직무교육 안내...	2021-08-12
[수업성적] 수강신청 확인 및 정정기간 변경 안내	2021-08-12
[수업성적] 2021-2학기 학부 수업 운영 계획 수정 안내	2021-08-10
2021학년도 2학기 재학생 전액장학생 등록금 ...	2021-08-09
2021학년도 2학기 재학생 등록금 신용카드 납...	2021-08-09
2021학년도 2학기 학점등록생 등록금 납부 안...	2021-08-09
2021학년도 2학기 등록금 분할납부(재학생) ...	2021-08-09
2021학년도 2학기 재학생 등록금 납부 안내	2021-08-09
2021학년도 중등교원 임용시험설명회 신청 접수...	2021-08-06
2021년 가을 졸업대상자 졸업심사 판정 결과 ...	2021-08-06
★2021년 가을 비대면 학위수여식 시행에 따른...	2021-08-05
이음과 채움 2기 교육봉사자 모집	2021-08-04
2021학년도 가을 학위수여식 안내	2021-08-02
[수업성적] 2021학년도 신입생 영어레벨테스트 결과 확인 ...	2021-08-25
[수업성적] 2021-2학기 학부 수강신청 확인 및 정정 안...	2021-08-25
[수업성적] 2021-2학기 협력 대학 간 공동교과목 제도 ...	2021-08-25
[수업성적] 2021학년도 신입생 영어레벨테스트 결과 확인 ...	2021-08-25
[수업성적] 2021-2학기 학부 수강신청 확인 및 정정 안...	2021-08-25
2021-2학기 '스마트강의실' 운영 지원 근로...	2021-08-23
2021-2학기 학석사연계과정 신청자 심사결과 ...	2021-08-20
2021년 9월 1일자 학기초 수료 신청 안내	2021-08-19
[수업성적] 2021-가을학기 사회봉사교과목 수강신청 정정 ...	2021-08-17
[수업성적]2021-2학기 학부 수강신청 확인 및 정정 안내	2021-08-25
[수업성적]유고결석 인정 신청 변경사항 안내(코로나19 백신 접종자 관련)	2021-08-13
[수업성적]수강신청 확인 및 정정기간 변경 안내	2021-08-12
[수업성적]2021-2학기 학부 수업 운영 계획 수정 안내	2021-08-10
2021학년도 2학기 재학생 전액장학생 등록금 납부 안내	2021-08-09
2021학년도 2학기 재학생 등록금 신용카드 납부 안내	2021-08-09
2021학년도 2학기 학점등록생 등록금 납부 안내	2021-08-09
2021학년도 2학기 등록금 분할납부(재학생) 안내	2021-08-09
[수업성적]2021-2학기 협력 대학 간 공동교과목 제도 시행 안내	2021-08-25
[수업성적]2021학년도 신입생 영어레벨테스트 결과 확인 안내	2021-08-25
[수업성적]2021-2학기 학부 수강신청 확인 및 정정 안내	2021-08-25
2021-2학기 '스마트강의실' 운영 지원 근로학생(단기) 모집	2021-08-23
2021-2학기 학석사연계과정 신청자 심사결과 안내(추가)	2021-08-20
[수업성적]2021-가을학기 사회봉사교과목 수강신청 정정 안내	2021-08-17
[수업성적]유고결석 인정 신청 변경사항 안내(코로나19 백신 접종자 관련)	2021-08-13
2021-2학기 Webex 원격수업 콜센터 근로학생(단기) 모집	2021-08-12
[수업성적]2021학년도 2학기 현장실습 사전직무교육 안내	2021-08-12
[수업성적]수강신청 확인 및 정정기간 변경 안내	2021-08-12
[수업성적]2021-2학기 학부 수업 운영 계획 수정 안내	2021-08-10
2021학년도 2학기 재학생 전액장학생 등록금 납부 안내	2021-08-09
2021학년도 2학기 재학생 등록금 신용카드 납부 안내	2021-08-09
2021학년도 2학기 학점등록생 등록금 납부 안내	2021-08-09
